IIIIII	(-2.153967497061597+0j)
IIIIIZ	(0.09602562114023112+0j)
IIIIZZ	(0.08526569181719042+0j)
IIIXXZ	(-0.03029697407699971+0j)
IIIYYI	(-0.03029697407699971+0j)
IIIZZI	(-0.07972473128986096+0j)
IIIZII	(-0.23504029278525912+0j)
IIZIII	(0.09602562114023104+0j)
IZZIII	(0.08526569181719026+0j)
XXZIII	(-0.030296974076999727+0j)
YYIIII	(-0.030296974076999727+0j)
ZZIIII	(-0.07972473128986093+0j)
ZIIIII	(-0.235040292785259+0j)
IIIIZI	(0.142679857721339+0j)
IIIXXI	(-0.0054776288524610185+0j)
IIIYYZ	(-0.0054776288524610185+0j)
IIIZZZ	(0.15248377593899265+0j)
IIIZIZ	(0.16007160325620137+0j)
IIZIIZ	(0.0904682309051042+0j)
IIXIZX	(-0.03868205812444726+0j)
IZXIZX	(0.03868205812444726+0j)
IIXIIX	(0.03868205812444726+0j)
IZXIIX	(-0.03868205812444726+0j)
IIXXXX	(0.009207736722842095+0j)
IZXXXX	(-0.009207736722842095+0j)
IIXYXY	(0.009207736722842095+0j)
IZXYXY	(-0.009207736722842095+0j)
IYYZXX	(0.011723784950021427+0j)
ZXXZXX	(0.011723784950021427+0j)
IYYIYY	(0.011723784950021427+0j)
ZXXIYY	(0.011723784950021427+0j)
YXYIZX	(-0.009207736722842095+0j)
XXXIZX	(-0.009207736722842095+0j)
YXYIIX	(0.009207736722842095+0j)
XXXIIX	(0.009207736722842095+0j)
YXYXXX	(0.014458521832541477+0j)
XXXXXX	(0.014458521832541477+0j)
YXYYXY	(0.014458521832541477+0j)
XXXYXY	(0.014458521832541477+0j)
IZZIIZ	(0.09303001244516945+0j)
YYIIIZ	(0.0008507749460655516+0j)
XXZIIZ	(0.0008507749460655516+0j)
ZZIIIZ	(0.08654721635408366+0j)
ZIIIIZ	(0.09662591534069818+0j)
IIZIZZ	(0.09303001244516945+0j)
IIZXXZ	(0.0008507749460655516+0j)
IIZYYI	(0.0008507749460655516+0j)
IZZIZZ	(0.09892105721819283+0j)
IZZXXZ	(-0.004631811373732287+0j)
IZZYYI	(-0.004631811373732287+0j)
IXIZXZ	(-0.0028480201473568313+0j)
ZXZZXZ	(0.0028480201473568313+0j)
IXIIXI	(0.0028480201473568313+0j)
ZXZIXI	(-0.0028480201473568313+0j)
YYIIZZ	(-0.004631811373732286+0j)
XXZIZZ	(-0.004631811373732286+0j)
YYIXXZ	(0.022472590972184132+0j)
XXZXXZ	(0.022472590972184132+0j)
YYIYYI	(0.022472590972184132+0j)
XXZYYI	(0.022472590972184132+0j)
ZZIIZZ	(0.08075222989540148+0j)
ZZIXXZ	(0.01877223472136944+0j)
ZZIYYI	(0.01877223472136944+0j)
XIIZXZ	(-0.003236094200000772+0j)
XZIZXZ	(0.003236094200000772+0j)
XIIIXI	(0.003236094200000772+0j)
XZIIXI	(-0.003236094200000772+0j)
ZIIIZZ	(0.10013293550711454+0j)
ZIIXXZ	(0.002266092394609821+0j)
ZIIYYI	(0.002266092394609821+0j)
IIZZZI	(0.08654721635408366+0j)
IZZZZI	(0.08075222989540148+0j)
IXIXZI	(-0.003236094200000772+0j)
ZXZXZI	(0.003236094200000772+0j)
IXIXII	(0.003236094200000772+0j)
ZXZXII	(-0.003236094200000772+0j)
YYIZZI	(0.01877223472136944+0j)
XXZZZI	(0.01877223472136944+0j)
ZZIZZI	(0.11246476027166737+0j)
XIIXZI	(-0.004268951412496312+0j)
XZIXZI	(0.004268951412496312+0j)
XIIXII	(0.004268951412496312+0j)
XZIXII	(-0.004268951412496312+0j)
ZIIZZI	(0.09260085481311313+0j)
IIZZII	(0.09662591534069818+0j)
IZZZII	(0.10013293550711454+0j)
YYIZII	(0.002266092394609821+0j)
XXZZII	(0.002266092394609821+0j)
ZZIZII	(0.09260085481311313+0j)
ZIIZII	(0.10921206835780052+0j)
IZIIII	(0.142679857721339+0j)
XXIIII	(-0.0054776288524610185+0j)
YYZIII	(-0.0054776288524610185+0j)
ZZZIII	(0.15248377593899265+0j)
ZIZIII	(0.16007160325620137+0j)

